salinity,temp,SS,wind,depth,PhytoBiomass
3.76,18.3,52,3.5,3.3,1.76
3.5,19.1,50,0,3.6,2.15
3.76,18.1,59,1,3.4,2.6
3.11,19.5,46,0,2.9,2.06
2.62,19,42,0,3,2.08
3.27,17.6,59,5,3.2,1.56
2.71,19.7,72,1,1.9,2.69
3.39,17.8,58,4,3.4,2.27
3.72,17.5,62,4,3.2,2.1
4.41,18.4,55,3.5,3,2.4
4.39,17.8,53,4,3.7,1.88
4.05,17.9,50,4,3.5,1.04
3.4,17.2,54,2,3.1,2.41
3.36,17.3,51,2,3.2,3.28
4.14,17,61,4,2.7,2.25
3.85,20.1,66,5,3.7,2.2
4.08,20.5,53.75,3,3.6,4.84
3.23,20,42.5,7,3.5,3.69
2.64,19.9,56.25,4,3,1.82
2.96,19.8,67.5,2,2.8,2.53
3.25,20.3,70,1,3,3.2
3.34,20,68.75,2,1.8,3.71
3.49,20.4,52.5,4,3.6,2.41
3.96,20,57.5,2.5,2.8,1.75
3.36,20,47.5,3,3.2,1.69
4.26,20,75,4,3.6,3.04
3.69,20.4,77.5,4,3.5,2.86
4.19,20.1,80,5,2.9,2.95
3.49,20.2,91.25,5,2.8,2.92
3.34,19.8,116.25,4,2.5,2.64
4.42,19.5,58.6,2.5,3.5,2.08
4.33,20.3,57.14,2,3.6,2.6
4.02,19.9,55.71,4.5,3.5,2.93
3.14,20.7,58.57,5.5,3,1.95
3.23,19.8,67.14,10,3,2.88
3.99,19.1,71.25,3,3.45,2.88
4.02,20.7,57.5,0,3.5,2.88
3.68,20.6,60,0.2,3.5,3.09
4.42,20.2,60,0.2,3,2.04
4.1,19.8,68.75,10,2.9,3.08
3.34,18.7,84.29,0,2,2.32
3.61,18.7,77.14,4,2.5,2.14
4.42,18.7,78.57,3.5,2.7,2
4.42,18.9,77.14,3,3.45,2.22
4.3,18.7,72.86,2,3.8,2.23
3.38,19.9,71.43,0,2.8,2.69
4.32,20.2,70,0.2,3.5,2.23
3.43,20.2,74.29,1.5,2.5,2.41
3.54,20.6,64.29,0.2,1.5,1.85
3.25,20.1,75.71,3,2.7,2.13
3.92,19.6,72.86,2.5,2.7,2.45
3.68,19.5,94.29,3,2.8,1.68
3.4,20,82.86,2.8,2,1.9
2.31,20.4,54.29,3.5,1.9,1.94
3.86,20.4,75.71,1,2.5,2.06
4.42,12.5,94,4,3.2,2.4
4.42,12.6,90,3.5,3.4,3.5
3.63,12.1,98,5,3.3,3.12
3.99,12.3,120,6,2.7,4.26
4.42,12.2,120,6,2.6,2.73
3.86,12,138,4.5,2.7,3.2
4.23,10.9,114,4,1.5,2.26
3.85,12.6,88,3,3.4,2.54
4.42,12.3,94,3,2.7,1.64
4.42,12.4,80,2.5,3,2.59
4.42,12.6,94,5,3.2,3.52
3.96,12.6,104,6.5,3.5,2.3
4.08,12.6,104,6,3.5,2.65
4.42,12.2,88,5,3.4,3.42
4.42,12.3,124,4,2.2,4.03
2.7,10.8,31,5,3.5,0.73
2.4,10.9,32,6,3.5,0.7
2.1,11.4,34,8,3.4,0.56
2,11.7,61,7,2.8,0.65
1.8,12,78,8,2.8,0.63
2.6,11.3,40,7,3.1,0.62
2.3,11.3,43,5,1.8,0.8
2.6,11.6,34,6,3.4,0.48
2.7,11.5,34,5,2.7,0.67
2.7,11.4,33,4,3.2,0.71
2.4,10.8,32,4,3.4,0.6
2.4,10.9,29,5,3.5,0.74
2.4,10.9,34,2,3.4,0.74
2.4,10.8,37,2,3.4,0.72
2.2,10.6,32,3,2.1,0.89
3.1,17.1,70,4,3.2,0.8
2.8,17.5,72.5,5.4,3.5,0.75
2.2,17.8,127.5,5.3,3.3,0.93
1.8,18.1,111.25,7.9,2.8,0.9
1.5,18.2,113.75,7.8,2.7,0.82
2.4,17.8,90,6.7,3.1,1.85
1.8,17.1,120,4.9,1.9,1.49
2.6,17.5,156.25,6.8,3.4,1.28
2.8,17.9,177.5,6.2,2.7,1.38
3,17,146.25,5.9,3.4,1.26
3.1,16.8,105,5.8,3.5,1.31
3.1,16.9,150,5,3.5,1.62
2.6,17.1,117.5,7.9,3.6,1.58
2.4,17,122.5,7.5,3.4,1.68
2.2,17,110,5,2.3,1.2
3.6,17.1,106.25,3,3.4,1.63
3.3,16.8,122.5,5,3.4,1.63
3.6,16.9,117.5,2.5,3.5,0.96
3.2,16.9,126.25,3,2.7,1.53
2.4,16.8,132.5,5,2.9,1.66
2.2,17.2,108.75,5,3.3,2.11
1.4,16.5,142.5,6,2,2.07
3.3,17.1,102.5,4.5,3.4,2.07
1.9,16.3,128.75,6,3,2.05
3.1,16.8,161.25,4,3.4,2.08
3.5,16.3,143.75,3.5,3.2,1.79
3.3,16.4,123.75,5,3.4,2.24
2.8,16,166.25,6,3,1.46
2.3,15.8,170,7,3.3,2.89
1.6,16.1,217.5,7.5,2,2.76
3.2,20.1,90,6,3.7,0.79
3.3,20.3,58.8,4,3.7,1.01
3.7,20.4,71.3,3.5,3.5,1.97
3.4,20.5,81.3,3,2.9,1.13
1.8,20.2,65,6,2.9,1.53
3.3,20.4,70,5,3.3,3.32
3.2,19.7,193.8,8,1.8,4.11
3.6,20.4,93.8,5,3.6,2.66
3.3,20.1,102.5,6,3.3,3.05
3.2,20.2,127.5,7,3.5,3.72
3.3,20.1,101.3,7,3.5,3.72
3.7,20.2,112.5,7.5,3.2,2.11
3.7,19.8,125,7,3.5,1.56
3.5,19.4,170,7,2.2,1.77
3.7,20.6,61.25,6,3.5,1.58
3.5,20.1,67.5,8.5,3.9,1.5
3.1,20.3,80,9,3,1.75
2.3,19.8,80,5,2.4,1.98
2.5,20,103.75,10,2,4.24
3.2,20.1,71.25,6.5,1.7,1.61
3.3,20.3,88.75,9,3.4,1.77
3.6,20.4,70,11,2.9,2.49
3.2,20.3,66.25,6.5,3,2.7
3.8,20.5,76.25,6,3.5,2.09
3.4,20.3,76.25,10,3.1,1.99
3.7,20.5,92.5,10,2.8,1.94
3.2,20.1,92.5,7,2.9,2.51
3.1,19.8,82.5,6,2.2,2.71
4.4,16.2,98.75,7.7,3.4,2.38
4.3,16.4,95,7.3,3.4,2.95
4.3,16.4,113.75,6.7,3.2,2.21
3.9,16.4,112.5,7.6,2.6,2.01
3.3,16.1,93.75,8.2,2.4,2.15
3.1,16.1,103.75,11,1.8,3.7
4.2,16.3,111.25,7.9,3.3,3.16
3.7,16.2,112.5,7,3.1,3.34
4.5,16.3,117.5,8.5,3.2,2.46
4.6,16.2,115,10.2,3.3,2.24
4.5,16.3,113.75,9.5,3.4,1.58
4.2,16,102.5,10.5,3.3,2.02
4.1,16,120,11.5,2.2,3.09
