Salinity_E,,O2_E,Watertemp_E,SS_E,chla_E,SRP_E,DOP_E,TP_E,NH4N_E,NO3N_E,DON_E,TN_E,TOC_E,DOC_E,Windspeed_E,Depth_E
3.757624,,9.46,18.3,52,39.32,3.5,11.7,200.2,0.039,0.022,0.551,1.371,16.065,7.5,3.5,3.3
3.504707,,9.89,19.1,50,45.87,4.4,17.5,133.2,0.02,0.025,0.123,1.349,16.38,7.86,0,3.6
3.721493,,9.63,17.5,62,22.94,11.7,13,142.3,0.036,0.021,0.727,0.918,16.0056,7.535,4,3.2
4.407982,,9.54,18.4,55,13.11,7.4,16.2,148.3,0.023,0.024,0.566,1.508,15.984,7.282,3.5,3
4.3899165,,9.34,17.8,53,3.28,13.8,21.4,119.6,0.031,0.03,0.022,1.152,15.2496,7.37,4,3.7
4.046672,,9.32,17.9,50,3.28,8.7,16,151,0.06,0.007,0.596,1.259,15.336,7.051,4,3.5
3.396314,,9.54,17.2,54,55.7,10.5,11.5,129.4,0.019,0.029,0.679,1.451,17.064,7.667,2,3.1
3.360183,,9.11,17.3,51,0,1,75.9,131.3,0.022,0.024,0.557,1.542,16.7508,7.92,2,3.2
4.1369995,,9.6,17,61,0,7,13.4,149.1,0.07,0.034,0.569,1.588,17.4852,8.206,4,2.7
3.8479515,,8.98,20.1,66,58.98,14.7,4.2,179.2,0.045,0.029,0.674,1.357,16.29,8.48,5,3.7
4.082803,,10.46,20.5,53.75,124.5,11.7,16.6,189.6,0.002,0.043,0.536,1.615,18.54,9.73,3,3.6
3.9563445,,8.89,20,57.5,88.46,13.5,8.2,146.7,0.014,0.064,0.721,1.393,19.42,10.09,2.5,2.8
3.360183,,9.16,20,47.5,68.8,10.9,50.7,182.8,0.006,0.142,0.658,1.437,17.95,10.33,3,3.2
4.263458,,8.83,20,75,85.19,11.7,10.3,124.5,0.019,0.039,0.487,1.279,17.72,9.82,4,3.6
3.685362,,9.12,20.4,77.5,88.46,15.2,20.8,120.9,0.01,0.056,0.685,1.567,18,9.3,4,3.5
4.191196,,9.1,20.1,80,95.02,18.2,6.8,175.5,0.016,0.037,0.802,1.754,21.19,9.93,5,2.9
3.4866415,,9.09,20.2,91.25,101.57,12.8,80.8,141.6,0.014,0.053,0.259,0.375,22.98,9.63,5,2.8
3.3421175,,9.03,19.8,116.25,121.23,8.9,59.7,191.9,0.016,0.036,0.738,1.484,23,10.09,4,2.5
4.42,,7.62,19.5,58.6,75.36,19.8,7.1,141.3,0.034,0.01,0.809,1.303,20.075,9.5,2.5,3.5
4.33,,8.88,20.3,57.14,81.91,21.4,35,210.2,0.024,0.027,0.815,1.527,19.437,9,2,3.6
3.99,,9.31,19.1,71.25,32.76,5.1,15.7,120.9,0.039,0.019,0.444,1.346,18.07,8.89,3,3.45
4.02,,11.86,20.7,57.5,88.46,13,10.1,103.6,0.035,0.057,0.626,1.631,17.85,8.45,0,3.5
4.42,,9.09,18.7,78.57,81.91,12,16.8,141.5,0.022,0.043,0.521,1.374,18.64,8.4,3.5,2.7
4.42,,9.05,18.9,77.14,85.19,5.4,20.6,181.2,0.035,0.033,0.548,1.222,17.898,8,3,3.45
4.3,,9.31,18.7,72.86,88.46,13.6,7.2,146.1,0.027,0.026,0.553,1.714,18.2,8.08,2,3.8
3.38,,11.16,19.9,71.43,101.57,8.2,42.2,182.5,0.032,0.039,0.448,1.773,21.64,8.84,0,2.8
4.32,,11.2,20.2,70,72.08,7.1,14.9,212.1,0.031,0.024,0.165,1.229,19.76,9.3,0.2,3.5
3.43,,11.14,20.2,74.29,81.91,22.8,16.2,202.8,0.012,0.027,0.699,1.707,22.76,9.14,1.5,2.5
