Salinity_W,O2_W,Watertemp_W,SS_W,chla_W,SRP_W,DOP_W,TP_W,NH4N_W,NO3N_W,DON_W,TN_W,TOC_W,DOC_W,Windspeed_W,Depth_W
3.757624,9.66,18.1,59,19.66,3.2,22.8,129.4,0.016,0.008,0.582,1.182,16.6635,8.172,1,3.4
3.107266,10.36,19.5,46,16.38,4.3,22.3,119.3,0.026,0.021,0.693,1.429,16.68,7.848,0,2.9
2.6194975,11.56,19,42,9.83,11.7,30.3,115.2,0.022,0.048,0.383,1.459,16.776,7.536,0,3
3.2698555,9.66,17.6,59,9.83,7.3,14.9,67.2,0.032,0.017,0.718,1.353,15.822,7.843,5,3.2
2.709825,12.12,19.7,72,13.11,7.8,13.6,132.6,0.015,0.024,0.309,1.722,16.9236,8.206,1,1.9
3.3782485,9.42,17.8,58,19.66,16.2,37.7,114.2,0.028,0.023,0.42,1.184,15.8976,7.139,4,3.4
3.2337245,9.83,20,42.5,91.74,14.3,9.3,131.7,0.014,0.091,0.716,1.463,17.82,10.29,7,3.5
2.637563,9.37,19.9,56.25,78.63,15.4,19.8,232.3,0.004,0.025,0.838,1.308,18.65,10.58,4,3
2.962742,9.48,19.8,67.5,101.57,12.5,4.1,135,0.004,0.035,0.803,1.547,20.55,10.86,2,2.8
3.25179,9.8,20.3,70,104.85,13.9,0.799999999999999,137.4,0.017,0.037,0.614,1.749,19.54,10.21,1,3
3.3421175,11.15,20,68.75,124.5,10.9,51,169.8,0.012,0.029,0.543,1.71,20,10.26,2,1.8
3.4866415,9.74,20.4,52.5,85.19,11.6,39.1,186.1,0.017,0.042,0.84,1.545,17.55,9.82,4,3.6
4.02,10.03,19.9,55.71,81.91,26.1,61.3,168.4,0.026,0.04,0.961,1.68,22.935,10,4.5,3.5
3.14,8.71,20.7,58.57,91.74,20.3,46.2,166,0.03,0.028,0.809,1.724,22.26,9.87,5.5,3
3.23,8.8,19.8,67.14,101.57,14.7,24.1,279.9,0.024,0.045,0.975,1.936,23.01,9.85,10,3
3.68,10.42,20.6,60,85.19,7.4,9.9,123.7,0.043,0.078,0.735,1.553,17.34,8.2,0.2,3.5
4.42,11,20.2,60,75.36,9.7,9.8,151.1,0.032,0.058,0.7,1.204,19.47,8.32,0.2,3
4.1,11.34,19.8,68.75,81.91,20.8,55.1,138.9,0.028,0.045,0.337,1.246,19.49,8.89,10,2.9
3.34,10.7,18.7,84.29,91.74,6,16.8,206,0.034,0.034,0.571,1.184,20.5,9,0,2
3.61,9.42,18.7,77.14,88.46,1.3,16.3,146.1,0.038,0.023,0.719,1.555,20.19,8.81,4,2.5
3.92,10.78,19.6,72.86,98.29,44.8,21.9,218.9,0.022,0.044,0.837,2.118,23.78,9.06,2.5,2.7
3.68,11.35,19.5,94.29,85.19,22.2,91.1,231.1,0.047,0.085,0.588,1.986,20.89,8.45,3,2.8
3.4,12.61,20,82.86,98.29,61.9,18.1,243.5,0.03,0.023,0.519,1.772,22.39,8.52,2.8,2
2.31,12.5,20.4,54.29,109.21,88.2,34.7,243.7,0.053,0.032,0.642,1.971,18.84,8.67,3.5,1.9
3.86,12.85,20.4,75.71,76.45,22.2,43.9,194.2,0.036,0.044,0.476,1.465,20.76,9,1,2.5
3.63,10.25,12.1,98,60.07,34.9,7.6,327.6,0.031,0.1,0.688,1.736,21.42,9.47,5,3.3
3.99,10.15,12.3,120,92.83,32,25.5,241.3,0.031,0.082,0.775,2.027,24,10.05,6,2.7
4.42,10.14,12.2,120,70.99,13.9,15.2,200.2,0.042,0.031,0.655,1.869,22.06,9,6,2.6
3.86,9.84,12,138,76.45,12.8,34.3,260.6,0.033,0.069,0.7,2.153,26.1,8.68,4.5,2.7
4.23,9.77,10.9,114,70.99,7.3,45,283.9,0.034,0.054,0.741,1.876,23.49,9.25,4,1.5
